,ID,TERMS (PT-NPT),RELATIONS,PT,MT,code,domain_code,domain
3595,2201,SEATO countries,USE,SEATO,7616 extra-European organisations,7616,76,76 international organisations
3596,2201,SEATO countries,USE,SEATO,7621 world organisations,7621,76,76 international organisations
3597,4054,SEDOC,USE,EURES,4411 labour market,4411,44,44 employment and working conditions
3598,4064,SELA,USE,Latin American Economic System,7616 extra-European organisations,7616,76,76 international organisations
3599,4069,SELA countries,USE,LAES countries,7231 economic geography,7231,72,72 geography
3600,3362,SERP,USE,supplementary pension,2836 social protection,2836,28,28 social questions
3601,c_52792cef,SES,USE,Single European Sky,4826 air and space transport,4826,48,48 transport
3602,448275,SESAR Joint Undertaking ,USE,European Joint Undertaking,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
3603,8459,SFPS,USE,single payment scheme,5606 agricultural policy,5606,56,"56 agriculture, forestry and fisheries"
3604,5644,SFYM,USE,Council of Europe fund,7611 European organisations,7611,76,76 international organisations
3605,2116,SICA,USE,Central American Integration System,7616 extra-European organisations,7616,76,76 international organisations
3606,2117,SICA countries,USE,CAIS countries,7231 economic geography,7231,72,72 geography
3607,6626,SIS,USE,Schengen Information System,1231 international law,1231,12,12 law
3608,2359,SMEs,USE,small and medium-sized enterprises,4011 business classification,4011,40,40 business and competition
3609,3622,SMI,USE,small and medium industries,6806 industrial structures and policy,6806,68,68 industry
3610,2359,SMUs,USE,small and medium-sized enterprises,4011 business classification,4011,40,40 business and competition
3611,2198,SOEC,USE,Eurostat,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
3612,5279,SPC,USE,Secretariat of the Pacific Community,7616 extra-European organisations,7616,76,76 international organisations
3613,8459,SPS,USE,single payment scheme,5606 agricultural policy,5606,56,"56 agriculture, forestry and fisheries"
3614,c_c565cff5,SRM,USE,EU banking union,2411 monetary economics,2411,24,24 finance
3615,c_c565cff5,SSM,USE,EU banking union,2411 monetary economics,2411,24,24 finance
3616,3508,START agreement,,,0816 international security,0816,08,08 international relations
3617,4073,STM,USE,supplementary trade mechanism,2006 trade policy,2006,20,20 trade
3618,4073,STM certificate,USE,supplementary trade mechanism,2006 trade policy,2006,20,20 trade
3619,923,STOA,USE,technology assessment,6411 technology and technical regulations,6411,64,"64 production, technology and research"
3620,c_ee45cd99,SWF,USE,sovereign wealth fund,2416 financial institutions and credit,2416,24,24 finance
3621,c_433922a6,SaaS,USE,cloud computing,3236 information technology and data processing,3236,32,32 education and communications
3622,3903,Saarland,,,7211 regions of EU Member States,7211,72,72 geography
3623,1767,Sabah,USE,Malaysia,7226 Asia and Oceania,7226,72,72 geography
3624,1767,Sabah,USE,Malaysia,7231 economic geography,7231,72,72 geography
3625,415,Sahara,USE,desert,5211 natural environment,5211,52,52 environment
3626,3804,Sahel,,,7221 Africa,7221,72,72 geography
3627,3804,Sahel countries,USE,Sahel,7221 Africa,7221,72,72 geography
3628,8547,Saint Barthélemy,,,7216 America,7216,72,72 geography
3629,8547,Saint Barthélemy,,,7241 overseas countries and territories,7241,72,72 geography
3630,8547,Saint Barthélémy,USE,Saint Barthélemy,7216 America,7216,72,72 geography
3631,8547,Saint Barthélémy,USE,Saint Barthélemy,7241 overseas countries and territories,7241,72,72 geography
3632,3403,Saint Christopher and Nevis,USE,Saint Kitts and Nevis,7216 America,7216,72,72 geography
3633,3403,Saint Christopher and Nevis,USE,Saint Kitts and Nevis,7231 economic geography,7231,72,72 geography
3634,3403,Saint Christopher and Nevis,USE,Saint Kitts and Nevis,7236 political geography,7236,72,72 geography
3635,3830,Saint Helena,,,7221 Africa,7221,72,72 geography
3636,3830,Saint Helena,,,7241 overseas countries and territories,7241,72,72 geography
3637,3403,Saint Kitts and Nevis,,,7216 America,7216,72,72 geography
3638,3403,Saint Kitts and Nevis,,,7231 economic geography,7231,72,72 geography
3639,3403,Saint Kitts and Nevis,,,7236 political geography,7236,72,72 geography
3640,3833,Saint Lucia,,,7216 America,7216,72,72 geography
3641,3833,Saint Lucia,,,7231 economic geography,7231,72,72 geography
3642,3833,Saint Lucia,,,7236 political geography,7236,72,72 geography
3643,1106,Saint Marcellin,USE,soft cheese,6016 processed agricultural produce,6016,60,60 agri-foodstuffs
3644,3816,Saint Martin,,,7216 America,7216,72,72 geography
3645,3816,Saint Martin,,,7241 overseas countries and territories,7241,72,72 geography
3646,3823,Saint Pierre and Miquelon,,,7216 America,7216,72,72 geography
3647,3823,Saint Pierre and Miquelon,,,7241 overseas countries and territories,7241,72,72 geography
3648,3405,Saint Vincent and the Grenadines,,,7216 America,7216,72,72 geography
3649,3405,Saint Vincent and the Grenadines,,,7231 economic geography,7231,72,72 geography
3650,3405,Saint Vincent and the Grenadines,,,7236 political geography,7236,72,72 geography
3651,8374,Saint-Paul Island,USE,French Southern and Antarctic Territories,7241 overseas countries and territories,7241,72,72 geography
3652,8516,Salaj,,,7211 regions of EU Member States,7211,72,72 geography
3653,6198,Salzburg,,,7211 regions of EU Member States,7211,72,72 geography
3654,5799,Sami,USE,indigenous population,2816 demography and population,2816,28,28 social questions
3655,3858,Samoa,,,7226 Asia and Oceania,7226,72,72 geography
3656,3858,Samoa,,,7231 economic geography,7231,72,72 geography
3657,3814,San Marino,,,7206 Europe,7206,72,72 geography
3658,3814,San Marino,,,7236 political geography,7236,72,72 geography
3659,7132,Sapard,USE,pre-accession aid,1016 European construction,1016,10,1016 european construction
3660,1767,Sarawak,USE,Malaysia,7226 Asia and Oceania,7226,72,72 geography
3661,1767,Sarawak,USE,Malaysia,7231 economic geography,7231,72,72 geography
3662,3891,Sardinia,,,7211 regions of EU Member States,7211,72,72 geography
3663,8515,Satu Mare,,,7211 regions of EU Member States,7211,72,72 geography
3664,2336,Saudi Arabia,,,7226 Asia and Oceania,7226,72,72 geography
3665,2336,Saudi Arabia,,,7231 economic geography,7231,72,72 geography
3666,2336,Saudi Arabia,,,7236 political geography,7236,72,72 geography
3667,7826,Savinjska,,,7211 regions of EU Member States,7211,72,72 geography
3668,5879,Saxony,,,7211 regions of EU Member States,7211,72,72 geography
3669,5879,Saxony (Free State of),USE,Saxony,7211 regions of EU Member States,7211,72,72 geography
3670,5880,Saxony-Anhalt,,,7211 regions of EU Member States,7211,72,72 geography
3671,5880,Saxony-Anhalt (Land),USE,Saxony-Anhalt,7211 regions of EU Member States,7211,72,72 geography
3672,1104,Sbrinz,USE,hard cheese,6016 processed agricultural produce,6016,60,60 agri-foodstuffs
3673,911,Scandinavia,USE,Northern Europe,7206 Europe,7206,72,72 geography
3674,129,Scandinavian Council,USE,Nordic Council,7611 European organisations,7611,76,76 international organisations
3675,911,Scandinavian country,USE,Northern Europe,7206 Europe,7206,72,72 geography
3676,5405,Schengen Agreement,,,1231 international law,1231,12,12 law
3677,6626,Schengen Information System,,,1231 international law,1231,12,12 law
3678,3918,Schleswig-Holstein,,,7211 regions of EU Member States,7211,72,72 geography
3679,3918,Schleswig-Holstein (Land),USE,Schleswig-Holstein,7211 regions of EU Member States,7211,72,72 geography
3680,4061,Schuman Declaration,USE,history of Europe,1016 European construction,1016,10,1016 european construction
3681,4061,Schuman plan,USE,history of Europe,1016 European construction,1016,10,1016 european construction
3682,923,Scientific and Technical Options Assessment,USE,technology assessment,6411 technology and technical regulations,6411,64,"64 production, technology and research"
3683,304,Scientific and Technical Research Committee,,,6416 research and intellectual property,6416,64,"64 production, technology and research"
3684,663,Scotland,,,7206 Europe,7206,72,72 geography
3685,7214,Second World War,,,0816 international security,0816,08,08 international relations
3686,5279,Secretariat of the Pacific Community,,,7616 extra-European organisations,7616,76,76 international organisations
3687,4178,Secretary General of an Institution,,,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
3688,8387,Secretary-General of the United Nations,USE,UN Secretary-General,7606 United Nations,7606,76,76 international organisations
3689,4092,Senegal,,,7221 Africa,7221,72,72 geography
3690,4092,Senegal,,,7231 economic geography,7231,72,72 geography
3691,5892,Serbia,,,7206 Europe,7206,72,72 geography
3692,5892,Serbia,,,7231 economic geography,7231,72,72 geography
3693,5892,Serbia,,,7236 political geography,7236,72,72 geography
3694,6223,Serbia and Montenegro,,,7206 Europe,7206,72,72 geography
3695,8311,Severen tsentralen (Bulgaria),,,7211 regions of EU Member States,7211,72,72 geography
3696,8317,Severoiztochen (Bulgaria),,,7211 regions of EU Member States,7211,72,72 geography
3697,8324,Severozapaden (Bulgaria),,,7211 regions of EU Member States,7211,72,72 geography
3698,4148,Seychelle Islands,USE,Seychelles,7221 Africa,7221,72,72 geography
3699,4148,Seychelle Islands,USE,Seychelles,7231 economic geography,7231,72,72 geography
3700,4148,Seychelles,,,7221 Africa,7221,72,72 geography
3701,4148,Seychelles,,,7231 economic geography,7231,72,72 geography
3702,448275,Shift2Rail Joint Undertaking,USE,European Joint Undertaking,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
3703,8320,Shumen region,,,7211 regions of EU Member States,7211,72,72 geography
3704,7874,Siauliu apskritis,USE,Šiauliai county,7211 regions of EU Member States,7211,72,72 geography
3705,8504,Sibiu,,,7211 regions of EU Member States,7211,72,72 geography
3706,4155,Sicily,,,7211 regions of EU Member States,7211,72,72 geography
3707,4161,Sierra Leone,,,7221 Africa,7221,72,72 geography
3708,4161,Sierra Leone,,,7231 economic geography,7231,72,72 geography
3709,7967,Silesia province,,,7211 regions of EU Member States,7211,72,72 geography
3710,8321,Silistra region,,,7211 regions of EU Member States,7211,72,72 geography
3711,4164,Singapore,,,7226 Asia and Oceania,7226,72,72 geography
3712,4164,Singapore,,,7231 economic geography,7231,72,72 geography
3713,2173,Single CMO,USE,common organisation of markets,5606 agricultural policy,5606,56,"56 agriculture, forestry and fisheries"
3714,4034,Single European Act,,,1011 European Union law,1011,10,1011 european union law
3715,c_52792cef,Single European Sky,,,4826 air and space transport,4826,48,48 transport
3716,c_c565cff5,Single resolution mechanism,USE,EU banking union,2411 monetary economics,2411,24,24 finance
3717,c_c565cff5,Single supervisory mechanism,USE,EU banking union,2411 monetary economics,2411,24,24 finance
3718,451885,Sint Maarten,,,7216 America,7216,72,72 geography
3719,451885,Sint Maarten,,,7241 overseas countries and territories,7241,72,72 geography
3720,5653,Sinti,USE,Roma,2821 social framework,2821,28,28 social questions
3721,8282,Sjælland (region),,,7211 regions of EU Member States,7211,72,72 geography
3722,5799,Skolt Sami,USE,indigenous population,2816 demography and population,2816,28,28 social questions
3723,5799,Skolts,USE,indigenous population,2816 demography and population,2816,28,28 social questions
3724,7999,Skåne county,,,7211 regions of EU Member States,7211,72,72 geography
3725,8330,Sliven region,,,7211 regions of EU Member States,7211,72,72 geography
3726,5859,Slovak Republic,USE,Slovakia,7206 Europe,7206,72,72 geography
3727,5859,Slovak Republic,USE,Slovakia,7231 economic geography,7231,72,72 geography
3728,5859,Slovak Republic,USE,Slovakia,7236 political geography,7236,72,72 geography
3729,5859,Slovakia,,,7206 Europe,7206,72,72 geography
3730,5859,Slovakia,,,7231 economic geography,7231,72,72 geography
3731,5859,Slovakia,,,7236 political geography,7236,72,72 geography
3732,5898,Slovenia,,,7206 Europe,7206,72,72 geography
3733,5898,Slovenia,,,7231 economic geography,7231,72,72 geography
3734,5898,Slovenia,,,7236 political geography,7236,72,72 geography
3735,8309,Smolyan region,,,7211 regions of EU Member States,7211,72,72 geography
3736,6245,Småland and the islands (Sweden),,,7211 regions of EU Member States,7211,72,72 geography
3737,6245,Småland med öarna,USE,Småland and the islands (Sweden),7211 regions of EU Member States,7211,72,72 geography
3738,2260,Social Democratic Party,,,0411 political party,0411,04,04 politics
3739,6253,Social Policy Agreement,USE,Social Policy Agreement (EU),2826 social affairs,2826,28,28 social questions
3740,6253,Social Policy Agreement (EU),,,2826 social affairs,2826,28,28 social questions
3741,6253,Social Protocol,USE,Social Policy Agreement (EU),2826 social affairs,2826,28,28 social questions
3742,1479,Socialist International,,,0406 political framework,0406,04,04 politics
3743,2261,Socialist Party,,,0411 political party,0411,04,04 politics
3744,4707,Socialist Republic of Viet Nam,USE,Vietnam,7226 Asia and Oceania,7226,72,72 geography
3745,4707,Socialist Republic of Viet Nam,USE,Vietnam,7231 economic geography,7231,72,72 geography
3746,2547,Society Islands,USE,French Polynesia,7226 Asia and Oceania,7226,72,72 geography
3747,2547,Society Islands,USE,French Polynesia,7231 economic geography,7231,72,72 geography
3748,2547,Society Islands,USE,French Polynesia,7241 overseas countries and territories,7241,72,72 geography
3749,8337,Sofia City region,,,7211 regions of EU Member States,7211,72,72 geography
3750,8336,Sofia District region,,,7211 regions of EU Member States,7211,72,72 geography
3751,8337,Sofia Grad region,USE,Sofia City region,7211 regions of EU Member States,7211,72,72 geography
3752,5644,Solidarity Fund for Youth Mobility,USE,Council of Europe fund,7611 European organisations,7611,76,76 international organisations
3753,3857,Solomon Islands,,,7226 Asia and Oceania,7226,72,72 geography
3754,3857,Solomon Islands,,,7231 economic geography,7231,72,72 geography
3755,4212,Somalia,,,7221 Africa,7221,72,72 geography
3756,4212,Somalia,,,7231 economic geography,7231,72,72 geography
3757,4212,Somalia,,,7236 political geography,7236,72,72 geography
3758,7896,South Aegean island,USE,Southern Aegean,7211 regions of EU Member States,7211,72,72 geography
3759,321,South Africa,,,7221 Africa,7221,72,72 geography
3760,321,South Africa,,,7231 economic geography,7231,72,72 geography
3761,321,South African Republic,USE,South Africa,7221 Africa,7221,72,72 geography
3762,321,South African Republic,USE,South Africa,7231 economic geography,7231,72,72 geography
3763,1624,South America,,,7216 America,7216,72,72 geography
3764,5738,South American Common Market,USE,Mercosur,7616 extra-European organisations,7616,76,76 international organisations
3765,2848,South Asia,,,7226 Asia and Oceania,7226,72,72 geography
3766,5446,South Asian Association for Regional Cooperation,,,7616 extra-European organisations,7616,76,76 international organisations
3767,2848,South Asian countries,USE,South Asia,7226 Asia and Oceania,7226,72,72 geography
3768,c_7d7608fa,South China Sea dispute,USE,South China Sea question,0816 international security,0816,08,08 international relations
3769,c_7d7608fa,South China Sea question,,,0816 international security,0816,08,08 international relations
3770,3398,South East (England),,,7206 Europe,7206,72,72 geography
3771,1771,South Georgia,USE,Falkland Islands,7216 America,7216,72,72 geography
3772,1771,South Georgia,USE,Falkland Islands,7241 overseas countries and territories,7241,72,72 geography
3773,1248,South Holland,,,7211 regions of EU Member States,7211,72,72 geography
3774,235,South Korea,,,7226 Asia and Oceania,7226,72,72 geography
3775,235,South Korea,,,7231 economic geography,7231,72,72 geography
3776,7867,South Latvia,USE,Zemgale,7211 regions of EU Member States,7211,72,72 geography
3777,5279,South Pacific Commission,USE,Secretariat of the Pacific Community,7616 extra-European organisations,7616,76,76 international organisations
3778,8402,South Pacific Forum,USE,Pacific Islands Forum,7616 extra-European organisations,7616,76,76 international organisations
3779,1983,South Pole,USE,Antarctica,5211 natural environment,5211,52,52 environment
3780,1771,South Sandwich Islands,USE,Falkland Islands,7216 America,7216,72,72 geography
3781,1771,South Sandwich Islands,USE,Falkland Islands,7241 overseas countries and territories,7241,72,72 geography
3782,451486,South Sudan,,,7221 Africa,7221,72,72 geography
3783,451486,South Sudan,,,7236 political geography,7236,72,72 geography
3784,451486,South Sudan,,,7616 extra-European organisations,7616,76,76 international organisations
3785,6239,South Sweden,,,7211 regions of EU Member States,7211,72,72 geography
3786,3399,South West (England),,,7206 Europe,7206,72,72 geography
3787,8495,South — Muntenia (Romania),USE,Sud — Muntenia (Romania),7211 regions of EU Member States,7211,72,72 geography
3788,8496,South-East (Romania),USE,Sud-Est (Romania),7211 regions of EU Member States,7211,72,72 geography
3789,2858,South-East Asia,,,7226 Asia and Oceania,7226,72,72 geography
3790,2201,South-East Asia Treaty Organisation,USE,SEATO,7616 extra-European organisations,7616,76,76 international organisations
3791,2201,South-East Asia Treaty Organisation,USE,SEATO,7621 world organisations,7621,76,76 international organisations
3792,2201,South-East Asia Treaty Organization,USE,SEATO,7616 extra-European organisations,7616,76,76 international organisations
3793,2201,South-East Asia Treaty Organization,USE,SEATO,7621 world organisations,7621,76,76 international organisations
3794,224,South-South cooperation,,,0811 cooperation policy,0811,08,08 international relations
3795,224,South-South dialogue,USE,South-South cooperation,0811 cooperation policy,0811,08,08 international relations
3796,224,South-South relations,USE,South-South cooperation,0811 cooperation policy,0811,08,08 international relations
3797,8497,South-West Oltenia (Romania),USE,Sud-Vest Oltenia (Romania),7211 regions of EU Member States,7211,72,72 geography
3798,7820,South-east Slovenia,,,7211 regions of EU Member States,7211,72,72 geography
3799,7896,Southern Aegean,,,7211 regions of EU Member States,7211,72,72 geography
3800,342,Southern Africa,,,7221 Africa,7221,72,72 geography
3801,8399,Southern Africa Development Community,USE,Southern African Development Community,7616 extra-European organisations,7616,76,76 international organisations
3802,8403,Southern African Customs Union,,,7616 extra-European organisations,7616,76,76 international organisations
3803,8399,Southern African Development Community,,,7616 extra-European organisations,7616,76,76 international organisations
3804,7899,Southern Alföld,,,7211 regions of EU Member States,7211,72,72 geography
3805,7840,Southern Bohemia,,,7211 regions of EU Member States,7211,72,72 geography
3806,5738,Southern Common Market,USE,Mercosur,7616 extra-European organisations,7616,76,76 international organisations
3807,5738,Southern Cone Common Market,USE,Mercosur,7616 extra-European organisations,7616,76,76 international organisations
3808,c_4b33c289,Southern Croatian Littoral,,,7211 regions of EU Member States,7211,72,72 geography
3809,7860,Southern Estonia,,,7211 regions of EU Member States,7211,72,72 geography
3810,912,Southern Europe,,,7206 Europe,7206,72,72 geography
3811,6251,Southern Finland,,,7211 regions of EU Member States,7211,72,72 geography
3812,7899,Southern Great Plain,USE,Southern Alföld,7211 regions of EU Member States,7211,72,72 geography
3813,1504,Southern Ireland,USE,Ireland,7206 Europe,7206,72,72 geography
3814,1504,Southern Ireland,USE,Ireland,7231 economic geography,7231,72,72 geography
3815,1504,Southern Ireland,USE,Ireland,7236 political geography,7236,72,72 geography
3816,7844,Southern Moravia,,,7211 regions of EU Member States,7211,72,72 geography
3817,4782,Southern Rhodesia,USE,Zimbabwe,7221 Africa,7221,72,72 geography
3818,4782,Southern Rhodesia,USE,Zimbabwe,7231 economic geography,7231,72,72 geography
3819,6239,Southern Sweden,USE,South Sweden,7211 regions of EU Member States,7211,72,72 geography
3820,7904,Southern Transdanubia,,,7211 regions of EU Member States,7211,72,72 geography
3821,c_2e7c1ac5,Southern neighbourhood,,,1016 European construction,1016,10,1016 european construction
3822,4620,Soviet Union,USE,USSR,7236 political geography,7236,72,72 geography
3823,863,Spain,,,7206 Europe,7206,72,72 geography
3824,863,Spain,,,7231 economic geography,7231,72,72 geography
3825,863,Spain,,,7236 political geography,7236,72,72 geography
3826,864,Spanish regions,USE,regions of Spain,7211 regions of EU Member States,7211,72,72 geography
3827,1205,Spanish-speaking areas,USE,linguistic group,2821 social framework,2821,28,28 social questions
3828,2598,Speaker of Parliament,,,0421 parliament,0421,04,04 politics
3829,6626,Specific Information Exchange System,USE,Schengen Information System,1231 international law,1231,12,12 law
3830,7827,Spodnjeposavska,,,7211 regions of EU Member States,7211,72,72 geography
3831,4458,Sporades,USE,Thessaly,7211 regions of EU Member States,7211,72,72 geography
3832,4246,Sri Lanka,,,7226 Asia and Oceania,7226,72,72 geography
3833,4246,Sri Lanka,,,7231 economic geography,7231,72,72 geography
3834,3833,St Lucia,USE,Saint Lucia,7216 America,7216,72,72 geography
3835,3833,St Lucia,USE,Saint Lucia,7231 economic geography,7231,72,72 geography
3836,3833,St Lucia,USE,Saint Lucia,7236 political geography,7236,72,72 geography
3837,4247,Stabex,,,1016 European construction,1016,10,1016 european construction
3838,4247,Stabex transfer,USE,Stabex,1016 European construction,1016,10,1016 european construction
3839,6212,Stability and Growth Pact,USE,stability pact,2411 monetary economics,2411,24,24 finance
3840,8310,Stara Zagora region,,,7211 regions of EU Member States,7211,72,72 geography
3841,883,State,,,0406 political framework,0406,04,04 politics
3842,889,State aid,,,1606 economic policy,1606,16,16 economics
3843,5052,State budget,USE,national budget,2436 public finance and budget policy,2436,24,24 finance
3844,796,State education,USE,public education,3211 teaching,3211,32,32 education and communications
3845,938,State farm,,,5616 farming systems,5616,56,"56 agriculture, forestry and fisheries"
3846,2996,State forest,USE,publicly owned forest,5636 forestry,5636,56,"56 agriculture, forestry and fisheries"
3847,5894,State health service,,,2841 health,2841,28,28 social questions
3848,2462,State intervention,USE,intervention policy,1606 economic policy,1606,16,16 economics
3849,6032,State management,USE,collectivism,1621 economic structure,1621,16,16 economics
3850,1981,State monopoly,,,4031 competition,4031,40,40 business and competition
3851,5617,State of Eritrea,USE,Eritrea,7221 Africa,7221,72,72 geography
3852,5617,State of Eritrea,USE,Eritrea,7231 economic geography,7231,72,72 geography
3853,1518,State of Israel,USE,Israel,7226 Asia and Oceania,7226,72,72 geography
3854,1518,State of Israel,USE,Israel,7231 economic geography,7231,72,72 geography
3855,1560,State of Kuwait,USE,Kuwait,7226 Asia and Oceania,7226,72,72 geography
3856,1560,State of Kuwait,USE,Kuwait,7231 economic geography,7231,72,72 geography
3857,1560,State of Kuwait,USE,Kuwait,7236 political geography,7236,72,72 geography
3858,2866,State of Qatar,USE,Qatar,7226 Asia and Oceania,7226,72,72 geography
3859,2866,State of Qatar,USE,Qatar,7231 economic geography,7231,72,72 geography
3860,2866,State of Qatar,USE,Qatar,7236 political geography,7236,72,72 geography
3861,1579,State of a Federation,USE,Federation State,0406 political framework,0406,04,04 politics
3862,3751,State pension,USE,pension scheme,2836 social protection,2836,28,28 social questions
3863,2812,State property,USE,public property,1211 civil law,1211,12,12 law
3864,5884,State secret,,,3231 information and information processing,3231,32,32 education and communications
3865,4,State trading,,,2006 trade policy,2006,20,20 trade
3866,830,State undertaking,USE,public sector,4011 business classification,4011,40,40 business and competition
3867,4,State-trading countries,USE,State trading,2006 trade policy,2006,20,20 trade
3868,7217,Statute for Members,USE,Statute for Members of the Parliament,0421 parliament,0421,04,04 politics
3869,7217,Statute for Members of the Parliament,,,0421 parliament,0421,04,04 politics
3870,118,Steering Committee for Cultural Heritage,USE,Council for Cultural Cooperation,7611 European organisations,7611,76,76 international organisations
3871,118,Steering Committee for Culture,USE,Council for Cultural Cooperation,7611 European organisations,7611,76,76 international organisations
3872,118,Steering Committee for Education,USE,Council for Cultural Cooperation,7611 European organisations,7611,76,76 international organisations
3873,118,Steering Committee for Higher Education and Research,USE,Council for Cultural Cooperation,7611 European organisations,7611,76,76 international organisations
3874,5761,Steering Group II,USE,EU body for police and judicial cooperation,1016 European construction,1016,10,1016 european construction
3875,6199,Steiermark,USE,Styria,7211 regions of EU Member States,7211,72,72 geography
3876,1107,Stilton,USE,blue-veined cheese,6016 processed agricultural produce,6016,60,60 agri-foodstuffs
3877,6237,Stockholm,,,7211 regions of EU Member States,7211,72,72 geography
3878,4794,Strategic Arms Limitation Talks,USE,SALT Agreement,0816 international security,0816,08,08 international relations
3879,3508,Strategic Arms Reduction Talks,USE,START agreement,0816 international security,0816,08,08 international relations
3880,3448,Strategic Defence Initiative,USE,strategic defence,0821 defence,0821,08,08 international relations
3881,5138,Structural Funds,,,1021 EU finance,1021,10,1021 eu finance
3882,6199,Styria,,,7211 regions of EU Member States,7211,72,72 geography
3883,8509,Suceava,,,7211 regions of EU Member States,7211,72,72 geography
3884,8495,Sud — Muntenia (Romania),,,7211 regions of EU Member States,7211,72,72 geography
3885,8496,Sud-Est (Romania),,,7211 regions of EU Member States,7211,72,72 geography
3886,8497,Sud-Vest Oltenia (Romania),,,7211 regions of EU Member States,7211,72,72 geography
3887,4217,Sudan,,,7221 Africa,7221,72,72 geography
3888,4217,Sudan,,,7231 economic geography,7231,72,72 geography
3889,4217,Sudan,,,7236 political geography,7236,72,72 geography
3890,5103,Suez Canal,,,4821 maritime and inland waterway transport,4821,48,48 transport
3891,5103,Suez Canal Zone,USE,Suez Canal,4821 maritime and inland waterway transport,4821,48,48 transport
3892,4325,Sulawesi,,,7226 Asia and Oceania,7226,72,72 geography
3893,2138,Sultanate of Oman,USE,Oman,7226 Asia and Oceania,7226,72,72 geography
3894,2138,Sultanate of Oman,USE,Oman,7231 economic geography,7231,72,72 geography
3895,2138,Sultanate of Oman,USE,Oman,7236 political geography,7236,72,72 geography
3896,4326,Sumatra,,,7226 Asia and Oceania,7226,72,72 geography
3897,3548,Sunday working,,,4416 organisation of work and working conditions,4416,44,44 employment and working conditions
3898,388,Supply Agency of the EAEC,USE,Euratom Supply Agency,1016 European construction,1016,10,1016 european construction
3899,4342,Surinam,,,7216 America,7216,72,72 geography
3900,4342,Surinam,,,7231 economic geography,7231,72,72 geography
3901,4342,Surinam,,,7236 political geography,7236,72,72 geography
3902,4351,Swaziland,,,7221 Africa,7221,72,72 geography
3903,4351,Swaziland,,,7231 economic geography,7231,72,72 geography
3904,4320,Sweden,,,7206 Europe,7206,72,72 geography
3905,4320,Sweden,,,7231 economic geography,7231,72,72 geography
3906,4320,Sweden,,,7236 political geography,7236,72,72 geography
3907,4324,Swiss Confederation,USE,Switzerland,7206 Europe,7206,72,72 geography
3908,4324,Swiss Confederation,USE,Switzerland,7231 economic geography,7231,72,72 geography
3909,4324,Swiss Confederation,USE,Switzerland,7236 political geography,7236,72,72 geography
3910,4324,Switzerland,,,7206 Europe,7206,72,72 geography
3911,4324,Switzerland,,,7231 economic geography,7231,72,72 geography
3912,4324,Switzerland,,,7236 political geography,7236,72,72 geography
3913,8283,Syddanmark (region),,,7211 regions of EU Member States,7211,72,72 geography
3914,6239,Sydsverige,USE,South Sweden,7211 regions of EU Member States,7211,72,72 geography
3915,4354,Syria,,,7226 Asia and Oceania,7226,72,72 geography
3916,4354,Syria,,,7231 economic geography,7231,72,72 geography
3917,4354,Syria,,,7236 political geography,7236,72,72 geography
3918,4354,Syrian Arab Republic,USE,Syria,7226 Asia and Oceania,7226,72,72 geography
3919,4354,Syrian Arab Republic,USE,Syria,7231 economic geography,7231,72,72 geography
3920,4354,Syrian Arab Republic,USE,Syria,7236 political geography,7236,72,72 geography
3921,4355,Sysmin,,,1016 European construction,1016,10,1016 european construction
3922,4355,System for Mineral Products,USE,Sysmin,1016 European construction,1016,10,1016 european construction
3923,4247,System for the stabilisation of export earnings,USE,Stabex,1016 European construction,1016,10,1016 european construction
3924,3888,São Tomé and Príncipe,,,7221 Africa,7221,72,72 geography
3925,3888,São Tomé and Príncipe,,,7231 economic geography,7231,72,72 geography
3926,8003,Södermanland county,,,7211 regions of EU Member States,7211,72,72 geography
3927,5021,T-Bill,USE,treasury bill,2436 public finance and budget policy,2436,24,24 finance
3928,5254,TAC,USE,authorised catch,5641 fisheries,5641,56,"56 agriculture, forestry and fisheries"
3929,2220,TARGET2,USE,intra-EU payment,2411 monetary economics,2411,24,24 finance
3930,441001,TEN-T EA ,USE,executive agency,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
3931,4068,TEU,USE,Treaty on European Union,1011 European Union law,1011,10,1011 european union law
3932,443137,TFEU,USE,Treaty on the Functioning of the EU,1011 European Union law,1011,10,1011 european union law
3933,5933,THB,USE,trafficking in human beings,1216 criminal law,1216,12,12 law
3934,4520,TIR,USE,international road transport,4816 land transport,4816,48,48 transport
3935,4520,TIR agreement,USE,international road transport,4816 land transport,4816,48,48 transport
3936,3115,TIR carnet,USE,transport document,4806 transport policy,4806,48,48 transport
3937,2603,TNW,USE,tactical nuclear weapon,0821 defence,0821,08,08 international relations
3938,6145,TRIMs,,,2021 international trade,2021,20,20 trade
3939,6146,TRIPS,,,2021 international trade,2021,20,20 trade
3940,6146,TRIPS Agreement,USE,TRIPS,2021 international trade,2021,20,20 trade
3941,c_777eba81,TSCG,USE,"Treaty on Stability, Coordination and Governance",1011 European Union law,1011,10,1011 european union law
3942,5719,TSE,USE,disease of the nervous system,2841 health,2841,28,28 social questions
3943,2185,TV receiver,USE,television equipment,3226 communications,3226,32,32 education and communications
